id,x,y,village,locality
339,33.78036111,13.34622222,wd deefa,AlSooki
340,33.77388889,13.35086111,elkarmta,AlSooki
341,33.76655556,13.35672222,gladeema,AlSooki
342,33.75911111,13.35769444,saboon,AlSooki
343,33.73580556,13.37944444,zian elabdeen,AlSooki
344,33.72738889,13.38038889,hlat saaid abotamara,AlSooki
345,33.69669444,13.38469444,awad elsiid,AlSooki
346,33.70144444,13.38836111,taiba elhmoodi,AlSooki
347,33.70555556,13.38894444,fagad,AlSooki
348,34.34894444,12.56033333,gabal kardoos,AlSooki
349,34.50038889,12.59188889,braish,AlSooki
350,34.47466667,12.65827778,abo saiad,AlSooki
351,34.285,12.43227778,abo hager,AlSooki
352,34.29116667,12.41944444,umdrman flaata,AlSooki
353,34.27694444,12.44522222,abo ashar,AlSooki
354,34.23230556,12.47136111,elmishirat,AlSooki
355,34.25191667,12.46680556,kaara,AlSooki
356,34.21136111,12.46502778,Abu Nura,AlSooki
357,34.16427778,12.50388889,Bunzga Janoob,AlSooki
358,34.1885,12.481,Kairan,AlSooki
359,34.18838889,12.55841667,Al Sabonabi,AlSooki
360,34.18791667,12.59883333,Al Hijair Abu Doma,AlSooki
361,34.1915,12.57941667,Al Mansura,AlSooki
362,34.17441667,12.61475,Al Tikaina Al Rizaigat,AlSooki
363,34.16608333,12.61958333,Al Tikaina Gidado,AlSooki
364,34.14936111,12.63297222,Gindeel,AlSooki
365,34.15183333,12.68336111,Om Nimir,AlSooki
366,34.14983333,12.69463889,Al Fonj Abu Khadiga,AlSooki
367,34.14727778,12.70566667,Al Fonj Al Amara,AlSooki
368,34.14308333,12.72186111,Om Algura,AlSooki
369,34.14480556,12.71522222,Wad Alizairig,AlSooki
370,34.15625,12.75605556,Abu Tiga Shamal,AlSooki
371,33.25986111,14.01644444,Albenayia Hj Ali,Sennar
372,33.27744444,14.04366667,Alhamar Jubara,Sennar
373,33.28330556,14.02622222,Um Hajjana,Sennar
374,33.28586111,14.00130556,Dar Hussien Wad Debayieh,Sennar
375,33.31397222,13.99572222,Kawa,Sennar
376,33.31502778,13.98033333,Aljaafra,Sennar
377,33.33797222,13.95325,Um Deraiba,Sennar
378,33.47819444,13.78819444,Alahamda,Sennar
379,33.49838889,13.78841667,Giwa,Sennar
380,33.49505556,13.82255556,Alawayda,Sennar
381,33.49544444,13.81808333,Kambo Alawiyda,Sennar
382,33.48016667,13.82736111,Kambo Daglash,Sennar
383,33.45413889,13.82141667,Kambo Alamaryia,Sennar
384,33.45544444,13.82477778,Alamaryia Albasheer,Sennar
385,33.45772222,13.82447222,Tafteesh 64,Sennar
386,33.46169444,13.74591667,Alwaisab Alfonj,Sennar
387,33.44858333,13.73425,Alowisab Alzain,Sennar
388,33.43494444,13.73563889,Alazaz Alshiekh Altoam,Sennar
389,33.41244444,13.75416667,Alhashaba,Sennar
390,33.38613889,13.73897222,Tayba Aljallalyia,Sennar
391,33.38941667,13.72116667,Tabat Alejba,Sennar
392,33.40227778,13.70055556,Alshegiala Alwalia ,Sennar
393,33.35375,13.70741667,Albihairab,Sennar
394,33.31236111,13.68694444,Alshigla Aljalalyia,Sennar
395,33.35061111,13.74288889,Um Regiaba,Sennar
396,33.35675,13.75575,Wad Jali Alhajar,Sennar
397,33.36797222,13.74177778,Alwaselyia,Sennar
398,33.32925,13.78513889,Hagw Aljayli,Sennar
399,33.32347222,13.79230556,Hagw Alahmar,Sennar
400,33.3165,13.82672222,Dar Hashim ,Sennar
401,33.34055556,13.81547222,Masooreen,Sennar
402,33.34216667,13.78972222,Hillat Alhaj Banagga,Sennar
403,33.38605556,13.77311111,Um Jebairah,Sennar
404,33.39119444,13.79922222,Um Balal,Sennar
405,33.46461111,13.75586111,Almadeena Alsakanyia,Sennar
406,33.45211111,13.77458333,Alwohda,Sennar
407,33.21475,13.79325,Alwakeen Abd Alrafie,Sennar
408,33.20555556,13.79358333,Alwakeen Um Laota,Sennar
409,33.28480556,13.81911111,Alkobra,Sennar
410,33.43547222,13.82897222,Kambo Alkhartoum,Sennar
411,33.43480556,13.70775,Wad Salman,Sennar
412,33.44644444,13.69752778,Hillat Alshiekh Altoam Wad Banga ,Sennar
413,33.44877778,13.71272222,Amara Alshiekh Hagw,Sennar
414,33.45152778,13.78488889,Sharfa Wad Alzebair,Sennar
415,33.43791667,13.80011111,Bargo Wad Haoba,Sennar
416,33.43102778,13.81530556,Amara Alradi (Wad Alradi,Sennar
417,33.39961111,13.85041667,Almurtafaa,Sennar
418,33.40802778,13.88569444,Gagw Abu Garin,Sennar
419,33.37572222,13.89669444,Koash,Sennar
420,33.37119444,13.86055556,Hajjaj,Sennar
421,33.32786111,13.87119444,Alfikhaikheer,Sennar
422,33.34438889,13.88966667,Um Eiz,Sennar
423,33.32461111,13.89552778,Wad Rofaydah,Sennar
424,33.3025,13.89047222,Bisoot,Sennar
425,33.27661111,13.88222222,Alhaidab,Sennar
426,33.24655556,13.87058333,Almanasarah,Sennar
427,33.21883333,13.86511111,Alamara Wadee,Sennar
428,33.1725,13.84527778,Alkababeesh,Sennar
429,33.12813889,13.88369444,Um Wizzain Abd Alraheem,Sennar
430,33.12422222,13.84463889,Baida Almagaweer,Sennar
431,33.08758333,13.883,Um Wizzain Dafallah,Sennar
432,33.07913889,13.89188889,Goaz Alhabeela,Sennar
433,33.07755556,13.90438889,Um Hibbin Alshrgeyia Alkharasanah,Sennar
434,33.10436111,13.96291667,Jarora,Sennar
435,33.11783333,13.96613889,Abu Niaam,Sennar
436,33.14238889,13.95425,Hambatei,Sennar
437,33.35066667,13.91669444,Alhiwayi,Sennar
438,33.33358333,13.91211111,Wad Saad,Sennar
439,33.322,13.92638889,Wad Siraj,Sennar
440,33.30313889,13.91822222,Abu Dalee,Sennar
441,33.25166667,13.90413889,Dakwa,Sennar
442,33.22983333,13.90525,Alshiehaheet,Sennar
443,33.18133333,13.88913889,Barak,Sennar
444,33.20694444,13.92405556,Okasha,Sennar
445,33.45502778,13.67044444,Alderaisa,Sennar
446,33.46483333,13.69830556,Tagteesh 50,Sennar
447,33.47027778,13.727,Alhuda (Alhilla Aljadeeda),Sennar
448,33.48375,13.742,Amara Ibraheem 56,Sennar
449,33.29422222,13.95405556,Almosallamyia Haj Ali,Sennar
450,33.28269444,13.94041667,Alezaiz,Sennar
451,33.26425,13.98486111,Alsabeel Shimal,Sennar
452,33.25022222,13.95644444,Wad Kunjal,Sennar
453,33.19177778,13.95422222,Gishoana Wad Alhassan,Sennar
454,33.19016667,13.96702778,Alagarab,Sennar
455,33.17744444,13.99225,Um Asheerah,Sennar
456,33.25769444,14.00547222,Alsheikh Musa Alagaleen,Sennar
457,33.23083333,13.99822222,Aldewiahyia Alhomor Wazzon,Sennar
458,33.20205556,14.01302778,Um Ezaam,Sennar
459,33.17219444,14.03747222,Kinana,Sennar
460,33.22961111,14.04402778,Abu Amna,Sennar
461,33.23738889,14.07255556,Kinza Alhassania,Sennar
462,33.53383333,13.57072222,Raiba,Sennar
463,33.531,13.57311111,Kambo Raiba,Sennar
464,33.49758333,13.59961111,Tayba Almesiaryia,Sennar
465,33.48133333,13.61508333,Mahala Aleshaishab,Sennar
466,33.45766667,13.62797222,Margooba,Sennar
467,33.47022222,13.62752778,Alkijiarah,Sennar
468,33.393,13.65297222,Wad Shambbali,Sennar
469,33.44361111,13.60108333,Wad Shagoora,Sennar
470,33.43486111,13.57230556,Hamadtoot,Sennar
471,33.43572222,13.54519444,Tabat Alazazah,Sennar
472,33.46288889,13.54408333,Um Shilookh,Sennar
473,33.50694444,13.54591667,Banat Alnifiadyia,Sennar
474,33.50283333,13.56330556,Alazaza Awlad Naeem,Sennar
475,33.49291667,13.58527778,Sharrafat Kalooka,Sennar
476,33.4895,13.58566667,Sharrafat Albataheen,Sennar
477,33.47927778,13.58491667,Sharrafat Albasrawyee,Sennar
478,33.51247222,13.57769444,Hamoada,Sennar
479,33.49208333,13.60141667,Tafteesh 33,Sennar
480,33.48883333,13.60111111,Kambo Mahla,Sennar
481,33.53213889,13.59725,Kambo Alboaster,Sennar
482,33.3305,13.45575,Kamar Altayer,Sennar
483,33.31416667,13.44913889,Awlad Mahla,Sennar
484,33.36430556,13.46491667,Mahatat Jabal Moyia,Sennar
485,33.31863889,13.49408333,Jabal Moyia ,Sennar
486,33.30052778,13.49847222,Jibbis,Sennar
487,33.29733333,13.49286111,Abu Hawa,Sennar
488,33.28494444,13.47366667,Albeliahab ,Sennar
